ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County
90094,33,588,62,5014,400,8,0,157,0,6262,753,12.03,166667.0,12.1,59.4,17.3,4.3,83.9,11426,1268247.27,0.4435,0.6438848920863309,0.10548800525796911,0.8945119947420309,0.020863309352517987,0.05141501142555809,19.2623486951208,6.803022253076,1547.1112889999997,Los Angeles
95030,225,1035,262,9117,642,11,5,342,0,11639,1388,11.93,215461.0,5.5,75.7,16.3,0.2,79.6,13528,3234472.56,0.5362,0.24407096171802053,0.8298301664704893,0.17016983352951068,0.021661998132586367,0.05835622540648897,5.228615717448592,3.7944579146036332,1056.8067568219874,Santa Clara
94708,101,572,61,6133,1020,4,5,380,0,8276,956,11.55,201099.0,4.5,75.8,10.7,1.9,86.6,11937,1552077.6,0.4172,0.1480104940970704,0.9136484550849192,0.08573767137303048,0.019676432006996064,0.05203581686095624,2.830065370783424,2.4695246391039065,165.25183852331506,Alameda 
94539,284,3476,674,31836,3274,55,3,1108,0,40710,4639,11.4,200046.0,4.5,13.9,75.9,1.5,74.3,53762,1902980.06,0.3908,0.19385702967883478,0.8917954119850188,0.10481039325842696,0.026327015662136632,0.034661429105873554,11.493309594659074,3.953099318891747,1652.109092693012,Alameda 
90067,27,319,59,3076,220,5,0,110,0,3816,434,11.37,109704.0,5.2,71.4,18.7,2.3,65.0,2483,1348859.66,0.5719,0.2677988242978446,0.07149621212121213,0.9285037878787878,0.11952971913781842,0.06455542021924482,20.0433235783777,5.10582025895299,1560.559103,Los Angeles
91436,112,1088,196,10556,765,7,3,396,0,13123,1491,11.36,157898.0,8.6,80.1,3.9,1.8,69.6,16970,2172898.21,0.5196,0.2204292131092996,0.8340807174887892,0.16143497757847533,0.047080352686740976,0.06777751423149905,13.429428660671448,6.561873110345579,3401.871717507739,Los Angeles
94582,253,2784,342,25532,2302,55,3,801,0,32072,3640,11.35,186367.0,5.4,27.0,58.6,3.4,75.9,47319,1677478.95,0.4087,0.299594383775351,0.7443839138152659,0.255616086184734,0.026458658346333853,0.051667618382928326,4.735627369436464,2.1922615265934096,790.349217736185,Contra Costa
94707,131,702,87,6926,1305,1,3,364,0,9519,1067,11.21,182603.0,5.0,72.4,12.4,1.1,85.1,12313,1627385.14,0.457,0.1494322789943228,0.919260700389105,0.07782101167315175,0.022911597729115978,0.0394393741851369,4.206609609604456,3.141788446395384,228.02608154569924,Alameda 
92618,405,3516,1161,34474,2530,107,20,1120,1,43334,4743,10.95,117833.0,9.9,35.1,48.2,1.5,69.3,54368,1262961.11,0.4717,0.6151747247486836,0.4755058114507103,0.4977184674989238,0.042364767831498326,0.08562554631851066,21.63310062056114,6.791728560236615,1727.94742692915,Orange 
94306,175,1530,281,14434,1992,20,2,523,0,18957,2073,10.94,185588.0,7.7,48.6,36.4,2.2,81.4,28394,2946768.36,0.4745,0.4557861282482707,0.6158110182500426,0.370885212348627,0.0625350532809871,0.06893632033868408,7.694592582908735,4.655961592966837,1073.2951771473943,Santa Clara
90049,223,1952,254,20274,1734,31,2,761,0,25231,2744,10.88,143000.0,7.9,78.1,7.1,1.3,80.8,35853,2716187.61,0.5556,0.461777115909655,0.45555188367481825,0.5437320995814056,0.05069496152891537,0.06347811295078248,12.220109598539938,5.452202828219245,1724.3086353476863,Los Angeles
90210,117,1426,234,13867,694,8,1,381,0,16728,1815,10.85,154740.0,6.2,81.3,5.1,1.9,64.8,19627,5160554.57,0.6142,0.2536806342015855,0.739355756528808,0.25800223554516816,0.06782433622750723,0.08702297854995669,13.75203674744416,5.380588260245736,943.7349549415707,Los Angeles
