ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports
91436,112,1088,196,10556,765,7,3,396,0,13123,1491,11.36,157898.0,8.6,80.1,3.9,1.8,69.6,16970,2172898.21,0.5196,0.2204292131092996,0.8340807174887892,0.1614349775784753,0.0470803526867409,0.067777514231499,13.429428660671448,6.561873110345579,3401.871717507739,Los Angeles,8.0,16.0,16.0,0.0
94582,253,2784,342,25532,2302,55,3,801,0,32072,3640,11.35,186367.0,5.4,27.0,58.6,3.4,75.9,47319,1677478.95,0.4087,0.299594383775351,0.7443839138152659,0.255616086184734,0.0264586583463338,0.0516676183829283,4.735627369436464,2.1922615265934096,790.349217736185,Contra Costa,6.0,10.0,10.0,0.0
94707,131,702,87,6926,1305,1,3,364,0,9519,1067,11.21,182603.0,5.0,72.4,12.4,1.1,85.1,12313,1627385.14,0.457,0.1494322789943228,0.919260700389105,0.0778210116731517,0.0229115977291159,0.0394393741851369,4.206609609604456,3.141788446395384,228.02608154569924,Alameda ,0.0,0.0,0.0,0.0
92618,405,3516,1161,34474,2530,107,20,1120,1,43334,4743,10.95,117833.0,9.9,35.1,48.2,1.5,69.3,54368,1262961.11,0.4717,0.6151747247486836,0.4755058114507103,0.4977184674989238,0.0423647678314983,0.0856255463185106,21.63310062056114,6.791728560236615,1727.94742692915,Orange ,159.0,259.0,247.0,12.0
94306,175,1530,281,14434,1992,20,2,523,0,18957,2073,10.94,185588.0,7.7,48.6,36.4,2.2,81.4,28394,2946768.36,0.4745,0.4557861282482707,0.6158110182500426,0.370885212348627,0.0625350532809871,0.068936320338684,7.694592582908735,4.655961592966837,1073.2951771473945,Santa Clara,56.0,124.0,123.0,0.0
90049,223,1952,254,20274,1734,31,2,761,0,25231,2744,10.88,143000.0,7.9,78.1,7.1,1.3,80.8,35853,2716187.61,0.5556,0.461777115909655,0.4555518836748182,0.5437320995814056,0.0506949615289153,0.0634781129507824,12.220109598539938,5.452202828219245,1724.3086353476865,Los Angeles,10.0,112.0,100.0,0.0
90210,117,1426,234,13867,694,8,1,381,0,16728,1815,10.85,154740.0,6.2,81.3,5.1,1.9,64.8,19627,5160554.57,0.6142,0.2536806342015855,0.739355756528808,0.2580022355451681,0.0678243362275072,0.0870229785499566,13.75203674744416,5.380588260245736,943.7349549415708,Los Angeles,34.0,62.0,62.0,0.0
95120,365,2263,703,24896,2079,43,10,1105,0,31464,3411,10.84,221632.0,7.6,46.0,38.9,1.1,73.5,38358,2007526.51,0.4071,0.1151084875558391,0.9691855063487148,0.0294208733353979,0.0292756860242501,0.0280841742939841,6.416611126093431,2.815119007670326,550.9821653165267,Santa Clara,1.0,4.0,0.0,4.0
90266,299,1980,550,21553,1678,16,22,903,0,27001,2899,10.74,169586.0,7.6,71.3,14.7,0.5,77.9,35585,2857420.44,0.4858,0.3223066607063031,0.7804292760965205,0.2170377283028929,0.0175830725674266,0.0308073554673199,7.243103817481265,5.349556876539484,978.5902715008986,Los Angeles,31.0,107.0,79.0,28.0
94563,300,1230,455,12777,1223,7,0,529,0,16521,1766,10.69,250001.0,6.0,70.4,14.7,0.6,87.0,19454,1961092.78,0.4747,0.059645723775256,0.9661396574440052,0.0312252964426877,0.0275394409078328,0.0206658420944135,4.58277825804513,3.5194414241089387,925.83145125428,Contra Costa,0.0,0.0,0.0,0.0
